,labels,text
0,MANAGEMENT,good employer
1,MANAGEMENT,Need to challenge with other communication company
2,MANAGEMENT,Management and culture
3,MANAGEMENT,booses act as a leader not like a bos
4,MANAGEMENT,he is a proactive person who thinks about the future of the company
5,MANAGEMENT,management no care of workers
6,MANAGEMENT,I really appreciate how my boss is being very supportive especially when it comes to any other issues with our customer
7,MANAGEMENT,Flat hierarchy
8,MANAGEMENT,chain management
9,MANAGEMENT,Promotion based on favoritism not actual performance
10,MANAGEMENT,Big organisation
11,MANAGEMENT,The company
12,MANAGEMENT,pressure like another company
13,MANAGEMENT,Best banking system
14,MANAGEMENT,The management know what area to focus
15,MANAGEMENT,- blur process due to major merging activities with other banks
16,MANAGEMENT,nice boss
17,MANAGEMENT,Family & Islamic oriented company
18,MANAGEMENT,JOB LIMIT
19,MANAGEMENT,Process in logging a report is established
20,MANAGEMENT | PAY&BENEFITS,Everything must be a CIMB Group family and The benefit offer cannot be competed by any other telcos
21,MANAGEMENT | PAY&BENEFITS,BEST COMPANY and No OT for interns either
22,MANAGEMENT | PAY&BENEFITS,yearly increment and  very stable in management
23,MANAGEMENT | PAY&BENEFITS,High pay for ot  TM has always been the best place to work in
24,MANAGEMENT | PAY&BENEFITS,Anything i can direct report to my managers or management side . Average benefit
25,MANAGEMENT | PAY&BENEFITS,this company's product is yet only been around for some years. Good salary
26,MANAGEMENT | PAY&BENEFITS,Big organisation with a lot of bureaucracy. Overall system and employee benefits
27,MANAGEMENT | PAY&BENEFITS,Need to improve on the incentive plan and The salary for starter
28,MANAGEMENT | PAY&BENEFITS,Industry challenges. Salary revision to a new level to resolve inflation issue seems to retain the talents that keep the company moving
29,MANAGEMENT | PAY&BENEFITS,Need to improve especially on products and services that company provide to their customers. And payment benefits
30,MANAGEMENT | PAY&BENEFITS,Small salary. the directors are at logger heads making it very very difficult for the lower ranking individuals to get the job done
31,MANAGEMENT | PAY&BENEFITS,polite boss and salary adjustment
32,MANAGEMENT | PAY&BENEFITS,The employers and High incentive payout
33,MANAGEMENT | PAY&BENEFITS,great money payment and Being a GLC with a lot of staff
34,MANAGEMENT | PAY&BENEFITS,Need funds. The challenges are usually when we need to transform the organization
35,MANAGEMENT | PAY&BENEFITS,the company is under pressure from many factors that affect its stability. One of those are good salary
36,MANAGEMENT | PAY&BENEFITS,Superior has given so many things to do and Got good yearly increment
37,MANAGEMENT | PAY&BENEFITS,Goal post may change depending on changing of management team and funds available for the stuff
38,MANAGEMENT | PAY&BENEFITS,Although it is said to be a high performance culture based organization. Good starter pay
39,MANAGEMENT | PAY&BENEFITS,GLC Company - Staff benefit & work exposure
40,MANAGEMENT,Large branch network
43,PAY&BENEFITS,They pay high for EPF compared to others
44,PAY&BENEFITS,Better salary package and benefits for staff
45,PAY&BENEFITS,Salary high
46,PAY&BENEFITS,So please revise your allowance package especially since it's not cheap to commute to and eat in KL city center
47,PAY&BENEFITS,There is no public transport benefits for interns
48,PAY&BENEFITS,Challenge comes with great remuniration
49,PAY&BENEFITS,Insurance coverage
50,PAY&BENEFITS,Great reward and recognition
51,PAY&BENEFITS,very good medical benefit
52,PAY&BENEFITS,The performers get rewarded
53,PAY&BENEFITS,Big benefits
54,PAY&BENEFITS,can travel when in site working
55,PAY&BENEFITS,good EPF payout and bonuses
56,PAY&BENEFITS,No benefit
57,PAY&BENEFITS,can get many commission from sale
58,PAY&BENEFITS,Adjustment salary not tally with the job promotion n gred level
59,PAY&BENEFITS,low annual increment
60,PAY&BENEFITS,Earn good incentives payments
61,PAY&BENEFITS,Hope the management won't keep change the incentive scheme
62,PAY&BENEFITS,The salary n talking to customers
63,PAY&BENEFITS | WORKPLACE,The benefit offer cannot be competed by any other telcos. Good employee and colleagues
64,PAY&BENEFITS | WORKPLACE,Annual dinner and family day. The office that I am currently working is nearby to my house
65,PAY&BENEFITS | WORKPLACE,Incentives quite lucrative. The good environment there
66,PAY&BENEFITS | WORKPLACE,No OT for interns either and need to travel for meetings
67,PAY&BENEFITS | WORKPLACE,yearly increment. Good working environment
